zip,white_pop,black_pop,%white,%black,population
"02118',",12800,4953,0.46,0.18,27660
 '02121',726,19900,0.03,0.71,28030
 '02126',1446,25400,0.05,0.86,29530
" '02130',",22700,4696,0.58,0.12,39320
" '02119',",2809,16000,0.11,0.60,26830
" '02125',",11000,10800,0.30,0.30,36350
" '02108',",3378,209,0.83,0.05,4050
" '02124',",8631,34100,0.16,0.64,52990
" '02116',",16300,1126,0.71,0.05,23000
" '02135',",26900,2073,0.66,0.05,40510
" '02132',",22300,1560,0.79,0.06,28290
" '02136',",8426,14600,0.27,0.46,31760
" '02110',",1803,83,0.85,0.04,2120
" '02115',",17600,2574,0.61,0.09,28980
" '02134',",9956,1094,0.57,0.06,17600
" '02127',",27900,2307,0.77,0.06,36310
" '02120',",5889,3854,0.38,0.25,15320
" '02111',",2880,212,0.38,0.03,7560
" '02129',",12900,2029,0.71,0.11,18310
" '02122',",8402,7602,0.34,0.31,24620
" '02128',",14800,1341,0.32,0.03,46210
" '02199',",1070,9,0.85,0.01,1260
" '02114',",9564,560,0.74,0.04,13000
" '02203',",,,,,
" '02215',",15200,1001,0.62,0.04,24700
" '02109',",3424,135,0.85,0.03,4020
" '02210',",2160,86,0.88,0.04,2460
" '02113',",6722,27,0.90,0.00,7500
" '02131',",15900,8588,0.49,0.27,32460
" '02149',",21400,8669,0.48,0.20,44500
" '02314',",,,,,
" '02151',",31100,3104,0.58,0.06,53170
" '01867',",23000,34,0.92,0.00,24940
" '02467',",15700,980,0.71,0.04,22050
" '02150',",8876,2421,0.23,0.06,38240
" '02186',",20000,3764,0.73,0.14,27350
" '02123',",,,,,
" '02351',",14800,472,0.92,0.03,16200
" '02188',",12200,1368,0.79,0.09,15350
" '01810',",27600,799,0.79,0.02,34960
" '02133',",,,,,
" '02026',",20200,2010,0.80,0.08,25270
" '02368',",12600,13600,0.37,0.40,33880
" '02062',",23400,1349,0.81,0.05,29020
 '02446',21000,616,0.71,0.02,29590